"stk","yr","mixCatch","mixER","amCatch","amER","frfnCatch","frfnER","totCatch","totalER"
"1",1954,10221,0.26,7268,0.185441277779195,NA,NA,17489,0.45
"1",1955,1958,0.25,1431,0.185530921820303,NA,NA,3389,0.44
"1",1956,19631,0.42,8687,0.185437390598984,NA,NA,28318,0.6
"1",1957,23867,0.34,12999,0.185432447468652,NA,NA,36866,0.53
"1",1958,12206,0.28,7990,0.185438763432126,NA,NA,20196,0.47
"1",1959,6741,0.25,5091,0.185437459022365,NA,NA,11832,0.43
"1",1960,6194,0.22,5182,0.185448949647497,NA,NA,11376,0.41
"1",1961,7698,0.22,6570,0.185441305145502,NA,NA,14268,0.4
"1",1962,10538,0.12,16379,0.185438036365283,NA,NA,26917,0.3
"1",1963,1922,0.04,9581,0.185433924285825,NA,NA,11503,0.22
"1",1964,17008,0.15,21064,0.185440491596898,NA,NA,38072,0.34
"1",1965,10502,0.26,7470,0.185442629462291,NA,NA,17972,0.45
"1",1966,9462,0.18,9711,0.185441212977639,NA,NA,19173,0.37
"1",1967,19954,0.38,9810,0.185451245793792,NA,NA,29764,0.56
"1",1968,19561,0.25,14511,0.185439349792977,NA,NA,34072,0.44
"1",1969,10582,0.23,8455,0.185449201614318,NA,NA,19037,0.42
"1",1970,9964,0.18,10178,0.185442288421244,NA,NA,20142,0.37
"1",1971,5463,0.17,6116,0.185440101876838,NA,NA,11579,0.35
"1",1972,17919,0.18,18427,0.185443859631467,NA,NA,36346,0.37
"1",1973,7936,0.12,12108,0.185449532853423,NA,NA,20044,0.31
"1",1974,20075,0.23,16281,0.185439138011549,NA,NA,36356,0.41
"1",1975,2870,0.1,5352,0.185453411414117,NA,NA,8222,0.28
"1",1976,2219,0.07,5655,0.185428074892612,NA,NA,7874,0.26
"1",1977,34463,0.38,16969,0.185443418392438,NA,NA,51432,0.56
"1",1978,18544,0.28,12352,0.185443190007206,NA,NA,30896,0.46
"1",1979,3942,0.21,3436,0.185449050086356,NA,NA,7378,0.4
"1",1980,9543,0.26,6911,0.185455521266604,NA,NA,16454,0.44
"1",1981,3271,0.26,2347,0.18543098680572,NA,NA,5618,0.44
"1",1982,5902,0.29,2760,0.13500293484641,NA,NA,8662,0.42
"1",1983,13074,0.35,8093,0.217355105548692,NA,NA,21167,0.57
"1",1984,34215,0.43,12595,0.159543473854884,NA,NA,46810,0.59
"1",1985,15030,0.26,8766,0.152444220301549,NA,NA,23796,0.41
"1",1986,3280,0.28,2551,0.217606414740254,NA,NA,5831,0.5
"1",1987,7396,0.36,1840,0.0885083457597768,NA,NA,9236,0.44
"1",1988,12402,0.2,6307,0.103491844704801,NA,NA,18709,0.31
"1",1989,7006,0.26,7267,0.268879268879269,NA,NA,14273,0.53
"1",1990,3266,0.25,2541,0.196747967479675,NA,NA,5807,0.45
"1",1991,13670,0.31,11873,0.26647365113565,NA,NA,25543,0.57
"1",1992,9704,0.39,4101,0.164963797264682,NA,NA,13805,0.56
"1",1993,37581,0.42,24604,0.275237157687489,NA,NA,62185,0.7
"1",1994,6550,0.23,4776,0.170534885381704,NA,NA,11326,0.4
"1",1995,8621,0.32,4816,0.179447052686489,NA,NA,13437,0.5
"1",1996,5450,0.29,3479,0.186942504030091,NA,NA,8929,0.48
"1",1997,3133,0.17,2523,0.138383062746819,NA,NA,5656,0.31
"1",1998,11233,0.13,13728,0.154599817561404,NA,NA,24961,0.28
"1",1999,16372,0.41,5652,0.140954661080353,NA,NA,22024,0.55
"1",2000,5963,0.23,3170,0.121441979849059,NA,NA,9133,0.35
"1",2001,2336,0.1,3928,0.160477182661274,NA,NA,6264,0.26
"1",2002,3095,0.14,2542,0.117636170114304,NA,NA,5637,0.26
"1",2003,1405,0.13,1639,0.146117500222876,NA,NA,3044,0.27
"1",2004,5360,0.1,7650,0.146501206480524,NA,NA,13010,0.25
"1",2005,1502,0.06,3679,0.142685386286069,NA,NA,5181,0.2
"1",2006,3325,0.12,1812,0.0645667046750285,NA,NA,5137,0.18
"1",2007,1439,0.06,3309,0.143707113697559,NA,NA,4748,0.21
"1",2008,1141,0.05,2685,0.107718847789457,NA,NA,3826,0.15
"1",2009,807,0.05,2384,0.136940662875524,NA,NA,3191,0.18
"1",2010,230,0.02,1342,0.130253324274483,NA,NA,1572,0.15
"1",2011,582,0.05,944,0.084846305950027,NA,NA,1526,0.14
"1",2012,334,0.02,2321,0.141119961087128,NA,NA,2655,0.16
"1",2013,409,0.03,1727,0.137019993652809,NA,NA,2136,0.17
"1",2014,246,0.02,2457,0.154654749165985,NA,NA,2703,0.17
"2",1954,NA,0.26,NA,NA,NA,NA,NA,0.45
"2",1955,NA,0.25,NA,NA,NA,NA,NA,0.44
"2",1956,NA,0.42,NA,NA,NA,NA,NA,0.6
"2",1957,NA,0.34,NA,NA,NA,NA,NA,0.53
"2",1958,36125,0.28,23648,0.185442511880303,NA,NA,59773,0.47
"2",1959,64316,0.25,48575,0.185443939237761,NA,NA,112891,0.43
"2",1960,35464,0.22,29666,0.185436838585064,NA,NA,65130,0.41
"2",1961,73933,0.22,63103,0.185442160078052,NA,NA,137036,0.4
"2",1962,NA,0.12,NA,NA,NA,NA,NA,0.3
"2",1963,2593,0.04,12929,0.185436447606208,NA,NA,15522,0.22
"2",1964,91552,0.15,113385,0.185441413858918,NA,NA,204937,0.34
"2",1965,25513,0.26,18147,0.185438381361128,NA,NA,43660,0.45
"2",1966,57938,0.18,59461,0.185440687110748,NA,NA,117399,0.37
"2",1967,175312,0.38,86183,0.185442276699165,NA,NA,261495,0.56
"2",1968,3000,0.25,2225,0.185416666666667,NA,NA,5225,0.44
"2",1969,NA,0.23,NA,NA,NA,NA,NA,0.42
"2",1970,5829,0.18,5955,0.185467796187866,NA,NA,11784,0.37
"2",1971,NA,0.17,NA,NA,NA,NA,NA,0.35
"2",1972,NA,0.18,NA,NA,NA,NA,NA,0.37
"2",1973,NA,0.12,NA,NA,NA,NA,NA,0.31
"2",1974,1058,0.23,857,0.185297297297297,NA,NA,1915,0.41
"2",1975,NA,0.1,NA,NA,NA,NA,NA,0.28
"2",1976,1329,0.07,3387,0.185426475418811,NA,NA,4716,0.26
"2",1977,NA,0.38,NA,NA,NA,NA,NA,0.56
"2",1978,NA,0.28,NA,NA,NA,NA,NA,0.46
"2",1979,NA,0.21,NA,NA,NA,NA,NA,0.4
"2",1980,NA,0.26,NA,NA,NA,NA,NA,0.44
"2",1981,1259,0.26,904,0.185512004925097,NA,NA,2163,0.44
"2",1982,3394,0.29,1586,0.134921310080817,NA,NA,4980,0.42
"2",1983,4410,0.35,2730,0.217356687898089,NA,NA,7140,0.57
"2",1984,NA,0.43,NA,NA,NA,NA,NA,0.59
"2",1985,NA,0.26,NA,NA,NA,NA,NA,0.41
"2",1986,NA,0.28,NA,NA,NA,NA,NA,0.5
"2",1987,4337,0.36,1079,0.0885079156754983,NA,NA,5416,0.44
"2",1988,7958,0.2,4047,0.103490602224779,NA,NA,12005,0.31
"2",1989,2977,0.26,3088,0.268872442316064,NA,NA,6065,0.53
"2",1990,2490,0.25,1937,0.196709657763786,NA,NA,4427,0.45
"2",1991,3897,0.31,3384,0.266435713723329,NA,NA,7281,0.57
"2",1992,NA,0.39,NA,NA,NA,NA,NA,0.56
"2",1993,NA,0.42,NA,NA,NA,NA,NA,0.7
"2",1994,NA,0.23,NA,NA,NA,NA,NA,0.4
"2",1995,NA,0.32,NA,NA,NA,NA,NA,0.5
"2",1996,NA,0.29,NA,NA,NA,NA,NA,0.48
"2",1997,NA,0.17,NA,NA,NA,NA,NA,0.31
"2",1998,NA,0.13,NA,NA,NA,NA,NA,0.28
"2",1999,NA,0.41,NA,NA,NA,NA,NA,0.55
"2",2000,NA,0.23,NA,NA,NA,NA,NA,0.35
"2",2001,NA,0.1,NA,NA,NA,NA,NA,0.26
"2",2002,NA,0.14,NA,NA,NA,NA,NA,0.26
"2",2003,NA,0.13,NA,NA,NA,NA,NA,0.27
"2",2004,NA,0.1,NA,NA,NA,NA,NA,0.25
"2",2005,1383,0.06,3387,0.142670598146588,NA,NA,4770,0.2
"2",2006,NA,0.12,NA,NA,NA,NA,NA,0.18
"2",2007,NA,0.06,NA,NA,NA,NA,NA,0.21
"2",2008,NA,0.05,NA,NA,NA,NA,NA,0.15
"2",2009,784,0.05,2318,0.136973349878863,NA,NA,3102,0.18
"2",2010,485,0.02,2832,0.130236836054265,NA,NA,3317,0.15
"2",2011,1315,0.05,2132,0.0848523441853061,NA,NA,3447,0.14
"2",2012,210,0.02,1460,0.141185571994971,NA,NA,1670,0.16
"2",2013,212,0.03,894,0.1369904995403,NA,NA,1106,0.17
"2",2014,126,0.02,1263,0.154703576678099,NA,NA,1389,0.17
"3",1954,7147,0.26,5083,0.185463567701682,NA,NA,12230,0.45
"3",1955,3456,0.25,2524,0.185451873622337,NA,NA,5980,0.44
"3",1956,39329,0.42,17404,0.185442882867524,NA,NA,56733,0.6
"3",1957,40396,0.34,22003,0.185441459056737,NA,NA,62399,0.53
"3",1958,32811,0.28,21478,0.185436524381821,NA,NA,54289,0.47
"3",1959,82495,0.25,62303,0.185440496706581,NA,NA,144798,0.43
"3",1960,21321,0.22,17835,0.185433562071117,NA,NA,39156,0.41
"3",1961,33605,0.22,28683,0.185444036412538,NA,NA,62288,0.4
"3",1962,1122,0.12,1743,0.185386088066369,NA,NA,2865,0.3
"3",1963,2470,0.04,12318,0.185450603715636,NA,NA,14788,0.22
"3",1964,11459,0.15,14192,0.185443616882268,NA,NA,25651,0.34
"3",1965,10251,0.26,7291,0.18543669566102,NA,NA,17542,0.45
"3",1966,4232,0.18,4344,0.185450819672131,NA,NA,8576,0.37
"3",1967,11831,0.38,5817,0.185467414870552,NA,NA,17648,0.56
"3",1968,10780,0.25,7998,0.185456569123035,NA,NA,18778,0.44
"3",1969,3944,0.23,3152,0.185477227256679,NA,NA,7096,0.42
"3",1970,4116,0.18,4205,0.185454705830467,NA,NA,8321,0.37
"3",1971,4337,0.17,4856,0.185449684934123,NA,NA,9193,0.35
"3",1972,13369,0.18,13747,0.185436984878529,NA,NA,27116,0.37
"3",1973,8836,0.12,13480,0.185442489441609,NA,NA,22316,0.31
"3",1974,53435,0.23,43337,0.185440183484668,NA,NA,96772,0.41
"3",1975,3853,0.1,7185,0.185448069378484,NA,NA,11038,0.28
"3",1976,6899,0.07,17587,0.185444499509685,NA,NA,24486,0.26
"3",1977,45103,0.38,22207,0.185440030729919,NA,NA,67310,0.56
"3",1978,30304,0.28,20185,0.185442084374541,NA,NA,50489,0.46
"3",1979,18011,0.21,15697,0.185445094217024,NA,NA,33708,0.4
"3",1980,24657,0.26,17854,0.18544215708677,NA,NA,42511,0.44
"3",1981,7305,0.26,5242,0.185432806254201,NA,NA,12547,0.44
"3",1982,9329,0.29,4360,0.1349385658135,NA,NA,13689,0.42
"3",1983,38858,0.35,24053,0.217349658880405,NA,NA,62911,0.57
"3",1984,59760,0.43,21999,0.159547155580053,NA,NA,81759,0.59
"3",1985,17351,0.26,10120,0.152448669086965,NA,NA,27471,0.41
"3",1986,23522,0.28,18302,0.217678822046195,NA,NA,41824,0.5
"3",1987,22773,0.36,5665,0.0884990314316066,NA,NA,28438,0.44
"3",1988,8388,0.2,4265,0.103474210296472,NA,NA,12653,0.31
"3",1989,21987,0.26,22804,0.268854855633761,NA,NA,44791,0.53
"3",1990,18844,0.25,14661,0.196736490385261,NA,NA,33505,0.45
"3",1991,19204,0.31,16680,0.266479215260249,NA,NA,35884,0.57
"3",1992,24633,0.39,10410,0.164960542579153,NA,NA,35043,0.56
"3",1993,135754,0.42,88875,0.275231488650088,NA,NA,224629,0.7
"3",1994,28987,0.23,21133,0.170515427317325,NA,NA,50120,0.4
"3",1995,31557,0.32,17626,0.179428711036912,NA,NA,49183,0.5
"3",1996,14354,0.29,9165,0.186968318407148,NA,NA,23519,0.48
"3",1997,5595,0.17,4505,0.138385451864594,NA,NA,10100,0.31
"3",1998,27074,0.13,33087,0.154597701149425,NA,NA,60161,0.28
"3",1999,31867,0.41,11000,0.140942521077313,NA,NA,42867,0.55
"3",2000,6489,0.23,3449,0.121426559639487,NA,NA,9938,0.35
"3",2001,3877,0.1,6519,0.160495346890541,NA,NA,10396,0.26
"3",2002,2851,0.14,2341,0.117614549839228,NA,NA,5192,0.26
"3",2003,11066,0.13,12908,0.146117274167987,NA,NA,23974,0.27
"3",2004,6735,0.1,9613,0.146506134268079,NA,NA,16348,0.25
"3",2005,2188,0.06,5359,0.142682180036742,NA,NA,7547,0.2
"3",2006,7457,0.12,4062,0.0645479103766089,NA,NA,11519,0.18
"3",2007,864,0.06,1986,0.14370477568741,NA,NA,2850,0.21
"3",2008,165,0.05,387,0.107589658048374,NA,NA,552,0.15
"3",2009,1145,0.05,3384,0.136981865284974,NA,NA,4529,0.18
"3",2010,222,0.02,1296,0.130198915009042,NA,NA,1518,0.15
"3",2011,376,0.05,609,0.0847835166365029,NA,NA,985,0.14
"3",2012,380,0.02,2638,0.141137445829544,NA,NA,3018,0.16
"3",2013,561,0.03,2371,0.137052023121387,NA,NA,2932,0.17
"3",2014,378,0.02,3786,0.154701099170514,NA,NA,4164,0.17
