"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha","E. Stuart","1.3522896","0.115257865707497","1.128","1.275","1.34849990730441","1.433","1.57602499227004","1.00248859704745","1000"
"beta0","E. Stuart","1.4602047","0.632920755016013","0.546127311687002","0.979249352247478","1.365","1.848","2.89404998316246","1.00266739685165","560"
"sigma","E. Stuart","0.8238532","0.0763494347454252","0.690892498411943","0.769749995127866","0.818049986247784","0.875949995719259","0.989814995569055","1.0021466769941","1000"
"deviance","E. Stuart","-91.7749","2.01747153174001","-94.15025","-93.2025","-92.29","-90.83","-86.45675","1.00130940421966","1000"
"alpha","L. Stuart","1.683566","0.17311415931736","1.36082455972275","1.563","1.683","1.791","2.026","1.00054677084504","1000"
"beta0","L. Stuart","0.878371","0.46767310496982","0.223299116698211","0.500674848238791","0.80669984504771","1.19324803856406","1.93507494337174","1.00052468082694","1000"
"sigma","L. Stuart","1.2782284","0.121929599033871","1.0479749883634","1.1947499215098","1.271","1.356","1.53112480141476","1.0003242134893","1000"
"deviance","L. Stuart","-50.66909","2.28229668317904","-53.59","-52.34","-51.09","-49.58","-44.88575","1.00040626365199","1000"
"alpha","Stellako","1.844185","0.165990962931043","1.53694996825517","1.728","1.838","1.952","2.176","1.00691093431576","220"
"beta0","Stellako","3.9631266","1.22612422287563","1.54789987381631","3.11499807218515","3.95099987344976","4.78874982384258","6.36402499808513","1.00287213192197","520"
"sigma","Stellako","0.8312335","0.0755918438365185","0.705487495679238","0.775674998791323","0.823399975710468","0.878174947703705","0.995744960389105","1.00203859038668","1000"
"deviance","Stellako","18.54591","2.49764457045039","15.61","16.63","17.84","19.8649981128909","24.5802499504303","1.00003145918409","1000"
"alpha","Bowron","1.6001229","0.134705834199404","1.35889985623349","1.51074993793103","1.592","1.68624994441425","1.87114976599362","1.00018073486274","1000"
"beta0","Bowron","25.961025","9.06988184636835","11.138747256815","19.1524955922679","24.7699979814291","31.8774855999018","45.470452994103","1.00133208979454","1000"
"sigma","Bowron","0.8072779","0.0729192429855631","0.678497499820358","0.755249995034318","0.8028","0.855624998904352","0.959527484642257","1.00132591195141","1000"
"deviance","Bowron","-323.2655","2.16719091601697","-325.7","-324.8","-323.8","-322.3","-317.4","1.00166316341081","1000"
"alpha","Raft","1.514986","0.130935823952019","1.25797499030693","1.43","1.515","1.6002499414276","1.781","1.00001481422829","1000"
"beta0","Raft","21.592263","8.67106891334228","7.07551897216531","15.1749777301009","21.0649994065986","27.5299945540354","38.8416812140843","1.00013159725794","1000"
"sigma","Raft","0.7939994","0.07450361150822","0.662679988220606","0.742574998737445","0.786199993640295","0.841924998886524","0.949962419949306","1.00229206433927","650"
"deviance","Raft","-340.919","2.46292610628192","-343.9025","-342.8","-341.4","-339.675","-334.895","1.000004220874","1000"
"alpha","Quesnel","1.65361","0.142073793723061","1.38294996471695","1.552","1.65049992426537","1.74524994629302","1.92704997471888","1.00079230093162","1000"
"beta0","Quesnel","0.4767429","0.168620831674098","0.156697499221913","0.359574245315933","0.482049997406908","0.591824998416006","0.812730520536651","1.00174111921723","860"
"sigma","Quesnel","1.0056041","0.0911055279904596","0.843059962947414","0.9428","0.998","1.056","1.21212474928834","1.00001246946066","1000"
"deviance","Quesnel","-176.651","2.61487218742266","-179.7","-178.6","-177.2","-175.4","-170.1","1.00070447907768","1000"
"alpha","Chilko","1.827123","0.145541761275846","1.54692492900599","1.731","1.83149993174993","1.9202499511867","2.113","1.00311429956417","1000"
"beta0","Chilko","1.23182","0.268720258405051","0.659652433181029","1.061","1.233","1.41824993391294","1.73307493677862","1.00026043460104","1000"
"sigma","Chilko","0.7965229","0.0760492961244943","0.671379988373363","0.741249994940523","0.790749985773","0.845649995565891","0.969017493840004","1.00002606846864","1000"
"deviance","Chilko","145.1204","2.89513828092298","142","143.1","144.3","146.4","152.902499203253","1.00210170045408","1000"
"alpha","Seymour","1.4459482","0.132538990265886","1.18797498973547","1.363","1.44249991334488","1.532","1.719","1.00002103572013","1000"
"beta0","Seymour","3.1091452","1.41854819432284","0.842494744011857","2.03999926422481","2.994","4.013","6.11524980090932","1.00058237365474","1000"
"sigma","Seymour","0.9172469","0.0851675816690679","0.774049936916318","0.85607497261681","0.910749768048282","0.972349965297413","1.10802498900698","1.00065985406019","1000"
"deviance","Seymour","-189.8489","2.59257405491728","-193.1","-191.8","-190.4","-188.475","-183.7","1.00145166843101","1000"
"alpha","L. Shuswap","1.507399","0.140678243403759","1.24189984266148","1.415","1.506","1.60124994146417","1.77919956284512","1.00625783902088","290"
"beta0","L. Shuswap","0.16300362","0.0767829243853917","0.0526257432933775","0.1043","0.150749925373116","0.212749982379199","0.339269719829262","1.00171964291121","870"
"sigma","L. Shuswap","1.0190089","0.0938278125568277","0.853224871156636","0.9529","1.012","1.07624991291895","1.21902499000745","1.00282652693271","530"
"deviance","L. Shuswap","-26.57706","2.35993437337708","-29.19","-28.1925","-27.19","-25.5625","-20.15925","1.00304179069683","1000"
"alpha","Birkenhead","1.902363","0.17318474004711","1.56077436518216","1.78524952711215","1.9074999344692","2.019","2.23612486393573","1.00384006768779","1000"
"beta0","Birkenhead","6.750458","1.51107142752919","3.80567445761146","5.73324802014355","6.74449775743161","7.78524902497344","9.51002285159116","1.00661484585411","230"
"sigma","Birkenhead","0.978744","0.0910925114905152","0.816577487902224","0.91599998362207","0.972549988432471","1.034","1.175","1.00454581749029","330"
"deviance","Birkenhead","-18.075397","2.69397379352346","-21.17","-20.07","-18.76","-16.8275","-10.58975","1.00253422498462","1000"
"alpha","Cultus","1.2248192","0.17002772255664","0.896904803255443","1.116","1.227","1.33824992996327","1.53802499207914","1.00746914154065","600"
"beta0","Cultus","18.054347","8.14886804832794","7.51892498540812","11.5124600165922","16.424999238965","23.0249983718069","37.9282151987402","1.00121158226962","1000"
"sigma","Cultus","1.1836267","0.108512920940877","1.00194995128328","1.109","1.173","1.24724992485472","1.41502499139093","1.00092083487366","1000"
"deviance","Cultus","-356.0061","2.16945138440789","-358.3","-357.6","-356.6","-355.1","-350.5975","1.01224771108095","290"
"alpha","Portage","2.063118","0.203167815456182","1.65974926288846","1.927","2.05849993927617","2.20124995741701","2.467","1.00216904619236","690"
"beta0","Portage","35.977855","15.2290849526316","9.30159966420796","24.5199019071022","36.1499986168741","46.3399967639866","66.9352419862372","1.00015010235846","1000"
"sigma","Portage","1.119334","0.116802223023808","0.91686998084291","1.03274990919363","1.11","1.18924992119089","1.37502499114061","1.00011372892912","1000"
"deviance","Portage","-206.3566","2.42491167604856","-209.4","-208.3","-206.85","-204.9","-200.8","1.00186317962191","810"
"alpha","Weaver","2.205124","0.190578085389246","1.83994997348646","2.08","2.19749994311718","2.327","2.57712488191739","1.00042223509967","1000"
"beta0","Weaver","5.890047","2.60584453191581","1.70774928368377","3.94145789276935","5.564","7.55649756981897","11.5402498944493","1.00001145879448","1000"
"sigma","Weaver","0.9096161","0.102441705148556","0.742157452472276","0.837124945109381","0.898949931864951","0.971624975882176","1.13804995721119","1.00127979080242","1000"
"deviance","Weaver","-7.82507844","2.41905610029974","-10.73","-9.61025","-8.3675","-6.65275","-1.85995","1.005388659812","1000"
"alpha","Fennell","2.146942","0.205215369755737","1.75189988853105","2.01174995339106","2.14099976646426","2.27324995876553","2.5640249952479","1.00027073683083","1000"
"beta0","Fennell","97.82812","21.0430756473073","55.4006184093468","83.8124864593992","98.9199979781642","111.4","138.614968434083","1.00154763387129","970"
"sigma","Fennell","0.9577146","0.108514728461777","0.785084994408727","0.880949961680385","0.94249999469496","1.02249963349071","1.2080249899165","1.00195242375393","770"
"deviance","Fennell","-256.3457","2.86393149597081","-259.6","-258.5","-257.2","-255","-249.1","1.00512001223655","1000"
"alpha","Scotch","1.4950846","0.216203227678262","1.09297498884278","1.356","1.48649991590985","1.63424994264593","1.93502499370369","1.00808461649494","1000"
"beta0","Scotch","4.834535","2.16543821371851","2.39097499490136","3.24699953784529","4.27699953238249","5.8774999362046","10.3522405162077","1.00113140727283","1000"
"sigma","Scotch","1.1124894","0.151660447246139","0.867084994937724","1","1.102","1.21224992268572","1.42602499145731","1.00727144627519","210"
"deviance","Scotch","-140.3218","2.33477963755811","-143","-142","-140.9","-139.3","-134.3975","1.02836376950357","94"
"alpha","Gates","1.729719","0.162231134434732","1.40497499132156","1.626","1.72649992759919","1.83424994889848","2.06302499409423","1.001209213436","1000"
"beta0","Gates","12.875841","5.49961962009053","4.24990499657822","8.47849960184037","12.4899959967968","16.524997731626","24.9214982421517","1.0000553937666","1000"
"sigma","Gates","0.9230989","0.103060432181665","0.750069976578449","0.847174998893337","0.9153","0.986124999049341","1.15117448322566","1.00003665981716","1000"
"deviance","Gates","-200.3887","2.27186348042167","-203.1","-202.1","-200.9","-199.4","-194.6","1.00060462910319","1000"
"alpha","Nadina","1.3998256","0.154313518483076","1.09697498888348","1.29774992774102","1.4","1.49924993748263","1.71112482226616","1.00080086606427","1000"
"beta0","Nadina","6.311925","3.2119222985974","1.9716991064591","3.647","5.85048664642524","8.20424971438291","13.6207491958245","1.00001377137625","1000"
"sigma","Nadina","0.8672237","0.105406588110645","0.697572478838587","0.791999981057417","0.856949928525582","0.935099983961222","1.09004995532918","1.00279139557955","1000"
"deviance","Nadina","-149.7037","2.20336813563715","-152.2","-151.2","-150.2","-148.9","-143.8","1.00079839310055","1000"
"alpha","Upper Pitt","1.5004508","0.158138034189177","1.17979933601779","1.39574993281576","1.502","1.61224994186347","1.80217466944246","1.00023430178525","1000"
"beta0","Upper Pitt","22.393867","4.19629421853133","14.5492492451092","19.5274995198258","22.4849994440738","25.38","30.4832432614092","1.00000351245102","1000"
"sigma","Upper Pitt","0.7622343","0.0668960110156039","0.6402","0.716599979063924","0.757999993403694","0.8023","0.90940999785635","1.00308566550341","490"
"deviance","Upper Pitt","-225.3465","2.63656200556884","-228.2","-227.2","-226.1","-224.1","-218.6","1.00027850615515","1000"
"alpha","Harrison","1.4905058","0.191138529616255","1.11497498906305","1.352","1.483","1.617","1.88007494171681","1.00001597376871","1000"
"beta0","Harrison","2.787138","1.40608421601927","0.66124992613446","1.6677499437753","2.6484976873692","3.63574976799339","6.09927475849502","1.00256765777218","1000"
"sigma","Harrison","1.387394","0.1308864241242","1.15097498940532","1.293","1.381","1.471","1.6660499707614","1.00078110238776","1000"
"deviance","Harrison","-182.791","2.47368512913793","-186","-184.7","-183.3","-181.5","-176.795","1.00149025515391","1000"
