stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,ets,
1,1948,4,0,0,0.179412,0.018741,0.198153,0.010859,0.018061,
1,1949,1,0,0.006218,1.029437,0.001271,1.030708,0.168458,0.35519,
1,1950,2,0,0.000579,0.240545,0.000542,0.241087,0.025658,0.053069,
1,1951,3,0,0.000009,0.158428,0.015217,0.173645,0.029785,0.052825,
1,1952,4,0,0.000028,0.078012,0.01056,0.088572,0.015484,0.027821,
1,1953,1,0,0.000294,0.537711,0.002886,0.540597,0.078238,0.137097,
1,1954,2,0,0.000341,0.154781,0.000701,0.155482,0.01801,0.034427,
1,1955,3,0,0.000011,0.025824,0.001632,0.027456,0.001397,0.002052,
1,1956,4,0,0,0.101035,0.006393,0.107428,0.016661,0.024684,
1,1957,1,0,0.00073,1.215763,0.003272,1.219035,0.119273,0.232256,
1,1958,2,0,0.000755,0.102112,0.00024,0.102352,0.022196,0.037279,
1,1959,3,0,0,0.014682,0.006153,0.020835,0.001297,0.002586,
1,1960,4,0,0.000022,0.069925,0.004202,0.074127,0.007401,0.012397,
1,1961,1,0,0.00063,0.252123,0.002208,0.254331,0.087782,0.16048,
1,1962,2,0,0,0.067661,0.005992,0.073653,0.014103,0.025398,
1,1963,3,0,0.000332,0.090397,0.001825,0.092222,0.00259,0.004109,
1,1964,4,0,0.001027,0.02594,0.012949,0.038889,0.0013,0.002319,
1,1965,1,0,0.000432,0.415253,0.001526,0.416779,0.011241,0.018543,
1,1966,2,0,0.001746,0.08304,0,0.08304,0.005959,0.01009,
1,1967,3,0,0.000423,0.326142,0.013128,0.33927,0.011167,0.019949,
1,1968,4,0,0.000011,0.010412,0,0.010412,0.000795,0.00134,
1,1969,1,0,0.000648,1.366181,0.004452,1.370633,0.048796,0.089746,
1,1970,2,0,0.001212,0.178232,0.001312,0.179544,0.015806,0.028206,
1,1971,3,0,0.000311,0.42351,0.006993,0.430503,0.04561,0.08544,
1,1972,4,0,0.000025,0.032207,0,0.032207,0.002253,0.004219,
1,1973,1,0,0.004591,1.342456,0.003951,1.346407,0.153876,0.295915,
1,1974,2,0,0.001242,0.141307,0.002218,0.143525,0.02161,0.038013,
1,1975,3,0,0.00015,0.220007,0.002852,0.222859,0.026252,0.052052,
1,1976,4,0,0.000043,0.0288,0.003034,0.031834,0.006792,0.011431,
1,1977,1,0,0.000572,0.752467,0.008655,0.761122,0.053363,0.086551,
1,1978,2,0,0.000202,0.07147,0.00118,0.07265,0.020004,0.035786,
1,1979,3,0,0.000034,0.089807,0.017889,0.107696,0.03617,0.069277,
1,1980,4,0,0.00001,0.03795,0.025541,0.063491,0.007361,0.012648,
1,1981,1,0,0.000046,0.33129,0.018805,0.350095,0.071485,0.123195,
1,1982,2,0,0.000013,0.026796,0.001007,0.027803,0.002158,0.003749,
1,1983,3,0,0.000423,0.17676,0.010949,0.187709,0.013121,0.020443,
1,1984,4,0,0.00024,0.209867,0.029536,0.239403,0.021868,0.040202,
1,1985,1,0,0.002414,1.179879,0.026057,1.205936,0.118124,0.215698,
1,1986,2,0,0.000056,0.12828,0.017603,0.145883,0.01516,0.027352,
1,1987,3,0,0.000008,0.494847,0.031065,0.525912,0.075524,0.135361,
1,1988,4,0,0.000033,0.319342,0.059894,0.379236,0.088071,0.174002,
1,1989,1,0,0.00042,1.091749,0.045932,1.137681,0.211041,0.365639,
1,1990,2,0,0.000002,0.156963,0.009121,0.166084,0.047065,0.093371,
1,1991,3,0,0.000514,0.129192,0.014581,0.143773,0.085456,0.138286,
1,1992,4,0,0.00001,0.080797,0.019569,0.100366,0.036565,0.05838,
1,1993,1,0,0.000847,1.652166,0.16177,1.813936,0.386806,0.679396,
1,1994,2,0,0.000006,0.02799,0.001034,0.029024,0.014499,0.026703,
1,1995,3,0,0.00002,0.170595,0.018985,0.18958,0.057342,0.108053,
1,1996,4,0,0,0.359206,0.10494,0.464146,0.041063,0.083274,
1,1997,1,0,0.000001,0.109249,0.038121,0.14737,0.073416,0.216779,
1,1998,2,0,0.000002,0.024341,0.004349,0.02869,0.009332,0.018221,
1,1999,3,0,0,0.025927,0.004639,0.030566,0.008189,0.020883,
1,2000,4,0,0,0.132457,0.003417,0.135874,0.035333,0.079487,
1,2001,1,0,0.000005,0.216279,0.035722,0.252001,0.082852,0.158779,
1,2002,2,0,0,0.020266,0.0043,0.024566,0.012921,0.023742,
1,2003,3,0,0,0.008431,0.001588,0.010019,0.006932,0.012718,
1,2004,4,0,0,0.032387,0.005077,0.037464,0.005181,0.008948,
1,2005,1,0,0.000049,0.076119,0.007844,0.083963,0.051153,0.097771,
1,2006,2,0,0,0.096013,0.010603,0.106616,0.015914,0.032016,
1,2007,3,0,0,0.010551,0.000147,0.010698,0.002376,0.00459,
1,2008,4,0,0.000001,0.183792,0.009159,0.192951,0.014446,0.026262,
1,2009,1,0,0.000003,0.172778,0.030113,0.202891,0.021884,0.042983,
1,2010,2,0,0.000053,0.191813,0.024267,0.21608,0.034198,0.055378,
1,2011,3,0,0.000003,0.00207,NA,NA,0.000233,0.000617,
1,2012,4,0,0.000009,NA,NA,NA,0.006812,0.019822,
1,2013,1,NA,NA,NA,NA,NA,0.039658,0.07531,
1,2014,2,NA,NA,NA,NA,NA,0.023298,0.045781,
1,2015,3,NA,NA,NA,NA,NA,0.00406,0.0075703,
2,1948,4,0,0,0.000327,0,0.000327,NA,NA,
2,1949,1,0,0.003433,1.526554,0,1.526554,0.039085,0.069684,
2,1950,2,0,0.000591,0.036671,0.002419,0.03909,0.001834,0.003869,
2,1951,3,0,0,0.056085,0.007559,0.063644,0.001246,0.002774,
2,1952,4,0,0.000086,0.003858,0.000029,0.003887,0.000016,0.0000329,
2,1953,1,0,0.00083,1.548072,0.00147,1.549542,0.078686,0.167574,
2,1954,2,0,0.00015,0.135111,0.002704,0.137815,0.002687,0.005388,
2,1955,3,0,0.000029,0.050196,0.00112,0.051316,0.003274,0.007197,
2,1956,4,0,0,0.013472,0.03263,0.046102,0.000466,0.000831,
2,1957,1,0,0.000874,1.327094,0.001916,1.32901,0.300038,0.508285,
2,1958,2,0,0.000672,0.053044,0.000961,0.054005,0.013152,0.023619,
2,1959,3,0,0.000067,0.006092,0.001233,0.007325,0.00409,0.007991,
2,1960,4,0,0.000027,0.006658,0.002932,0.00959,0.001307,0.002313,
2,1961,1,0,0.000143,0.770385,0.007535,0.77792,0.194461,0.321547,
2,1962,2,0,0.000045,0.043107,0.001917,0.045024,0.009073,0.015711,
2,1963,3,0,0.000025,0.011911,0.000113,0.012024,0.001092,0.002403,
2,1964,4,0,0.00006,0.001806,0.001235,0.003041,0.000824,0.001816,
2,1965,1,0,0.000228,1.102448,0.021752,1.1242,0.122786,0.201891,
2,1966,2,0,0.000274,0.071954,0.001851,0.073805,0.004164,0.007986,
2,1967,3,0,0.000224,0.006294,0.010038,0.016332,0.000897,0.00155,
2,1968,4,0,0,0.027393,0.003906,0.031299,0.000179,0.000355,
2,1969,1,0,0.002756,1.602892,0.019888,1.62278,0.1143,0.194852,
2,1970,2,0,0.000318,0.07052,0,0.07052,0.008027,0.0147,
2,1971,3,0,0.001243,0.065527,0,0.065527,0.000725,0.001429,
2,1972,4,0,0,0.01618,0.002586,0.018766,0.003411,0.007341,
2,1973,1,0,0.00029,0.658158,0.005807,0.663965,0.116703,0.206276,
2,1974,2,0,0.000855,0.048593,0.001268,0.049861,0.007371,0.013877,
2,1975,3,0,0.000541,0.214097,0.000478,0.214575,0.005679,0.011264,
2,1976,4,0,0,0.003339,0,0.003339,0.001674,0.002817,
2,1977,1,0,0.000104,1.313861,0.043776,1.357637,0.075962,0.143842,
2,1978,2,0,0.000699,0.06982,0.008928,0.078748,0.007115,0.012738,
2,1979,3,0,0,0.006854,0,0.006854,0.016711,0.031918,
2,1980,4,0,0,0.02144,0,0.02144,0.000287,0.000554,
2,1981,1,0,0,1.97801,0.055891,2.033901,0.120124,0.229409,
2,1982,2,0,0.000193,0.052097,0.008699,0.060796,0.008681,0.016758,
2,1983,3,0,0,0.014195,0.003717,0.017912,0.001451,0.002246,
2,1984,4,0,0.000222,0.014522,0,0.014522,0.000672,0.001228,
2,1985,1,0,0.007755,3.367086,0.132788,3.499874,0.159048,0.265387,
2,1986,2,0,0.000264,0.725126,0.091171,0.816297,0.015045,0.026807,
2,1987,3,0,0.000984,0.283932,0.095155,0.379087,0.002392,0.005316,
2,1988,4,0,0.001552,0.207234,0,0.207234,0.003638,0.007072,
2,1989,1,0,0.020256,5.162734,0.144134,5.306868,0.327098,0.571901,
2,1990,2,0,0.00044,0.372685,0.016654,0.389339,0.111747,0.188795,
2,1991,3,0,0.000354,0.091441,0.017786,0.109227,0.0402,0.07686,
2,1992,4,0,0,0.12897,0.006429,0.135399,0.012422,0.019513,
2,1993,1,0,0.004082,3.249145,0.511029,3.760174,1.184283,1.79906,
2,1994,2,0,0,0.108011,0.007429,0.11544,0.040705,0.074911,
2,1995,3,0,0.001366,0.092713,0.039375,0.132088,0.017181,0.034362,
2,1996,4,0,0.000607,0.810002,0.212391,1.022393,0.027297,0.053425,
2,1997,1,0,0.000081,0.351715,0.079099,0.430814,0.415149,0.797917,
2,1998,2,0,0.000312,0.26439,0.01256,0.27695,0.067834,0.136054,
2,1999,3,0,0.000023,0.11752,0.016079,0.133599,0.0338,0.059398,
2,2000,4,0,0.001827,0.868657,0.042459,0.911116,0.22624,0.440831,
2,2001,1,0,0.000029,0.415504,0.08981,0.505314,0.179534,0.337986,
2,2002,2,0,0.00002,0.121483,0.004449,0.125932,0.017804,0.034369,
2,2003,3,0,0.000011,0.015962,0.00581,0.021772,0.019208,0.03654,
2,2004,4,0,0.00022,0.263681,0.019017,0.282698,0.05131,0.083204,
2,2005,1,0,0.000089,0.104604,0.014974,0.119578,0.164548,0.292637,
2,2006,2,0,0.000037,0.169236,0.005275,0.174511,0.014283,0.0271,
2,2007,3,0,0.000048,0.00516,0.008534,0.013694,0.004144,0.008067,
2,2008,4,0,0.000326,0.183247,0.006668,0.189915,0.057881,0.115325,
2,2009,1,0,0.00004,0.216742,0.013637,0.230379,0.043271,0.085806,
2,2010,2,0,0.000839,0.135047,0.016199,0.151246,0.043476,0.07373,
2,2011,3,0,0,0.001709,NA,NA,0.000778,0.002026,
2,2012,4,0,0,NA,NA,NA,0.031771,0.056978,
2,2013,1,NA,NA,NA,NA,NA,0.070946,0.130493,
2,2014,2,NA,NA,NA,NA,NA,0.027869,0.048115,
2,2015,3,NA,NA,NA,NA,NA,0.00435,0.01095,
3,1948,4,0,0,0.185175,0.022002,0.207177,0.009242,0.015172,
3,1949,1,0,0.000133,0.173402,0.006341,0.179743,0.040231,0.070367,
3,1950,2,0,0.00463,0.903768,0.030719,0.934487,0.07741,0.130439,
3,1951,3,0,0.000026,0.354049,0.101292,0.455341,0.051413,0.090072,
3,1952,4,0,0.000023,0.093984,0.016694,0.110678,0.01992,0.039217,
3,1953,1,0,0.00003,0.156192,0.018023,0.174215,0.020388,0.040894,
3,1954,2,0,0.003311,1.140205,0.067783,1.207988,0.072273,0.136439,
3,1955,3,0,0.000028,0.602677,0.027091,0.629768,0.029937,0.049758,
3,1956,4,0,0.000092,0.2204,0.026243,0.246643,0.021686,0.036747,
3,1957,1,0,0.000008,0.143835,0.008,0.151835,0.018044,0.036199,
3,1958,2,0,0.001156,0.323089,0.016215,0.339304,0.061581,0.11159,
3,1959,3,0,0.000017,0.514918,0.026485,0.541403,0.041872,0.078251,
3,1960,4,0,0.000019,0.14334,0.021155,0.164495,0.022718,0.037923,
3,1961,1,0,0.000288,0.137046,0.010068,0.147114,0.018136,0.033366,
3,1962,2,0,0.0001,0.572029,0.017376,0.589405,0.044532,0.084089,
3,1963,3,0,0.000977,0.713487,0.013462,0.726949,0.041535,0.077725,
3,1964,4,0,0.000194,0.170674,0.006969,0.177643,0.016161,0.030202,
3,1965,1,0,0.000179,0.2311,0.012372,0.243472,0.020479,0.038255,
3,1966,2,0,0.000833,0.336316,0.022757,0.359073,0.051509,0.095692,
3,1967,3,0,0.000288,0.531886,0.01835,0.550236,0.032467,0.055008,
3,1968,4,0,0.000085,0.1259,0.003837,0.129737,0.01368,0.026948,
3,1969,1,0,0.000131,0.235729,0.017385,0.253114,0.025629,0.044324,
3,1970,2,0,0.00117,0.228808,0.00413,0.232938,0.026727,0.041923,
3,1971,3,0,0.000496,0.508759,0,0.508759,0.020147,0.03858,
3,1972,4,0,0.000204,0.711226,0.044784,0.75601,0.019938,0.03532,
3,1973,1,0,0.000011,0.075813,0.010077,0.08589,0.015424,0.029383,
3,1974,2,0,0.001823,0.281752,0.019534,0.301286,0.023718,0.040008,
3,1975,3,0,0.003852,1.832708,0.064645,1.897353,0.068451,0.111969,
3,1976,4,0,0.00015,0.216701,0.027506,0.244207,0.063865,0.129085,
3,1977,1,0,0.000074,0.209138,0.056488,0.265626,0.010894,0.020348,
3,1978,2,0,0.00086,0.388505,0.04804,0.436545,0.032528,0.05736,
3,1979,3,0,0.000031,0.478737,0.145156,0.623893,0.152583,0.269624,
3,1980,4,0,0.000207,0.535944,0.219255,0.755199,0.028477,0.052417,
3,1981,1,0,0.000028,0.234136,0.051734,0.28587,0.01203,0.021014,
3,1982,2,0,0.0019,0.309369,0.046504,0.355873,0.034888,0.06295,
3,1983,3,0,0.001129,1.097744,0.158607,1.256351,0.061357,0.111823,
3,1984,4,0,0.00017,0.744589,0.26643,1.011019,0.032672,0.059694,
3,1985,1,0,0.000087,0.097659,0.030996,0.128655,0.021969,0.040151,
3,1986,2,0,0.000023,0.445398,0.116424,0.561822,0.044564,0.07486,
3,1987,3,0,0.000014,0.353471,0.082191,0.435662,0.098179,0.183961,
3,1988,4,0,0.000158,0.566227,0.425114,0.991341,0.200537,0.333462,
3,1989,1,0,0.000028,0.127212,0.095047,0.222259,0.015903,0.038749,
3,1990,2,0,0.001145,0.861027,0.089664,0.950691,0.056537,0.093359,
3,1991,3,0,0.000259,0.299039,0.037271,0.33631,0.054349,0.094311,
3,1992,4,0,0.000275,0.734393,0.133793,0.868186,0.055138,0.097338,
3,1993,1,0,0.000013,0.068158,0.241673,0.309831,0.042861,0.087626,
3,1994,2,0,0.000127,0.593409,0.088649,0.682058,0.063584,0.12298,
3,1995,3,0,0.000075,0.127344,0.05654,0.183884,0.041135,0.087748,
3,1996,4,0,0.000016,0.635499,0.176479,0.811978,0.167624,0.309564,
3,1997,1,0,0,0.068515,0.056658,0.125173,0.023241,0.051642,
3,1998,2,0,0.000073,0.504421,0.133503,0.637924,0.096961,0.182986,
3,1999,3,0,0,0.143988,0.030474,0.174462,0.06608,0.125908,
3,2000,4,0,0,0.647582,0.070089,0.717671,0.195386,0.346687,
3,2001,1,0,0,0.20341,0.083718,0.287128,0.06159,0.137938,
3,2002,2,0,0.000047,0.224262,0.024066,0.248328,0.177618,0.321556,
3,2003,3,0,0.000005,0.034522,0.014605,0.049127,0.043829,0.07788,
3,2004,4,0,0.000153,0.213103,0.032647,0.24575,0.053755,0.08649,
3,2005,1,0,0.000012,0.00664,0.004885,0.011525,0.102247,0.17455,
3,2006,2,0,0.000087,0.391376,0.081434,0.47281,0.079834,0.145611,
3,2007,3,0,0.00002,0.113252,0.024678,0.13793,0.019626,0.038803,
3,2008,4,0,0.000454,0.259519,0.014453,0.273972,0.073798,0.137941,
3,2009,1,0,0,0.151519,0.047534,0.199053,0.01577,0.027404,
3,2010,2,0,0.012308,1.441852,0.122167,1.564019,0.109382833,0.195995254,
3,2011,3,0,0,0.04057,NA,NA,0.025856,0.051111,
3,2012,4,0,0.00005,NA,NA,NA,0.05057243,0.078930486,
3,2013,1,NA,NA,NA,NA,NA,0.05413,0.097523,
3,2014,2,NA,NA,NA,NA,NA,0.240406,0.458126,
3,2015,3,NA,NA,NA,NA,NA,0.04761,0.09415,
4,1948,4,0,0,0.080266,0,0.080266,0.012826,0.023945,
4,1949,1,0,0.000045,0.062746,0,0.062746,0.010721,0.019672,
4,1950,2,0,0.00055,0.065365,0.009633,0.074998,0.007298,0.014253,
4,1951,3,0,0.000378,0.103443,0,0.103443,0.01004,0.019186,
4,1952,4,0,0.000008,0.036992,0.006304,0.043296,0.008568,0.016461,
4,1953,1,0,0.000003,0.070599,0.004977,0.075576,0.005734,0.011721,
4,1954,2,0,0.000652,0.062971,0.003293,0.066264,0.004566,0.009283,
4,1955,3,0,0.000043,0.092623,0.004289,0.096912,0.004472,0.008255,
4,1956,4,0,0,0.027586,0.01016,0.037746,0.003639,0.006174,
4,1957,1,0,0,0.041008,0.000958,0.041966,0.006416,0.010603,
4,1958,2,0,0.000043,0.017945,0.000167,0.018112,0.008297,0.013104,
4,1959,3,0,0.000011,0.056454,0.0054,0.061854,0.014614,0.025819,
4,1960,4,0,0.000004,0.017278,0.000451,0.017729,0.003506,0.006728,
4,1961,1,0,0,0.026835,0.001313,0.028148,0.003675,0.006576,
4,1962,2,0,0.000006,0.018822,0.002499,0.021321,0.003219,0.00555,
4,1963,3,0,0.000028,0.204973,0.009315,0.214288,0.011467,0.019275,
4,1964,4,0,0,0.025416,0.002091,0.027507,0.00069,0.001324,
4,1965,1,0,0.00005,0.01677,0.001029,0.017799,0.00117,0.002128,
4,1966,2,0,0,0.021196,0.001053,0.022249,0.001151,0.002092,
4,1967,3,0,0.000124,0.193857,0.012513,0.20637,0.013991,0.027981,
4,1968,4,0,0,0.037393,0.00615,0.043543,0.00171,0.003419,
4,1969,1,0,0,0.016003,0.001208,0.017211,0.001936,0.003872,
4,1970,2,0,0.000371,0.015826,0,0.015826,0.000497,0.000874,
4,1971,3,0,0,0.124161,0.000346,0.124507,0.010761,0.019965,
4,1972,4,0,0,0.01686,0.000111,0.016971,0.001969,0.003654,
4,1973,1,0,0,0.010538,0.000124,0.010662,0.002012,0.004024,
4,1974,2,0,0,0.015702,0.001729,0.017431,0.001046,0.00185,
4,1975,3,0,0.000122,0.121742,0.000634,0.122376,0.014735,0.026219,
4,1976,4,0,0,0.007112,0,0.007112,0.001069,0.002037,
4,1977,1,0,0,0.005875,0.009521,0.015396,0.001214,0.002207,
4,1978,2,0,0,0.039903,0.000724,0.040627,0.001678,0.002773,
4,1979,3,0,0,0.015714,0.01427,0.029984,0.016178,0.030898,
4,1980,4,0,0,0.039381,0.005789,0.04517,0.001376,0.002639,
4,1981,1,0,0,0.014724,0.001808,0.016532,0.000562,0.001032,
4,1982,2,0,0,0.003066,0.002211,0.005277,0.00099,0.001647,
4,1983,3,0,0.000017,0.036597,0.001535,0.038132,0.003484,0.005806,
4,1984,4,0,0.000012,0.044712,0.005879,0.050591,0.004909,0.009563,
4,1985,1,0,0,0.016449,0.002728,0.019177,0.00303,0.005845,
4,1986,2,0,0,0.020562,0.000636,0.021198,0.001396,0.002851,
4,1987,3,0,0.000132,0.018171,0.004289,0.02246,0.00566,0.011071,
4,1988,4,0,0,0.011669,0.001381,0.01305,0.007405,0.012464,
4,1989,1,0,0,0.004945,0.007897,0.012842,0.001367,0.002534,
4,1990,2,0,0,0.018847,0.012283,0.03113,0.005065,0.007513,
4,1991,3,0,0.000114,0.047542,0.001083,0.048625,0.00246,0.004919,
4,1992,4,0,0.000014,0.010556,0.002313,0.012869,0.001117,0.00256,
4,1993,1,0,0,0.016961,0.003506,0.020467,0.000592,0.001184,
4,1994,2,0,0,0.006743,0.004106,0.010849,0.001845,0.00438,
4,1995,3,0,0.00004,0.025092,0.002259,0.027351,0.013467,0.027558,
4,1996,4,0,0,0.020695,0.006081,0.026776,0.004055,0.008148,
4,1997,1,0,0,0.001335,0.003689,0.005024,0.002119,0.004755,
4,1998,2,0,0,0.011272,0.005729,0.017001,0.00283,0.004751,
4,1999,3,0,0,0.019734,0,0.019734,0.003295,0.008238,
4,2000,4,0,0,0.023887,0.001396,0.025283,0.00672,0.01248,
4,2001,1,0,0,0.004433,0.002392,0.006825,0.002752,0.005504,
4,2002,2,0,0,0.007279,0.000395,0.007674,0.004505,0.008433,
4,2003,3,0,0,0.003702,0.00009,0.003792,0.003038,0.006076,
4,2004,4,0,0,0.003008,0.003082,0.00609,0.000458,0.000916,
4,2005,1,0,0,0.001876,0.000382,0.002258,0.000866,0.00173,
4,2006,2,0,0,0.014783,0.00264,0.017423,0.000636,0.001432,
4,2007,3,0,0,0.008359,0.00002,0.008379,0.001075,0.002133,
4,2008,4,0,0,0.000234,0.000548,0.000782,0.000275,0.000774,
4,2009,1,0,0,0.004968,0.001241,0.006209,0.000843,0.001686,
4,2010,2,0,0.000023,0.023583,0.003676,0.027259,0.004095,0.008189,
4,2011,3,0,0,0.006276,NA,NA,0.002037,0.003991,
4,2012,4,0,0.00003,NA,NA,NA,0.00003,0.000059,
4,2013,1,NA,NA,NA,NA,NA,0.001924,0.003225,
4,2014,2,NA,NA,NA,NA,NA,0.006252,0.011419,
4,2015,3,NA,NA,NA,NA,NA,0.00221,0.00346,
5,1948,4,0,0,0.062653,0.000684,0.063337,0.005524,0.010359,
5,1949,1,0,0,0.036748,0.002878,0.039626,0.002109,0.005484,
5,1950,2,0,0.000017,0.039549,0.00599,0.045539,0.001917,0.003597,
5,1951,3,0,0.000008,0.034636,0.013009,0.047645,0.003364,0.006769,
5,1952,4,0,0.000005,0.046167,0.00501,0.051177,0.005116,0.010353,
5,1953,1,0,0,0.030285,0.001839,0.032124,0.0036,0.006259,
5,1954,2,0,0.000231,0.038964,0.011293,0.050257,0.005352,0.009918,
5,1955,3,0,0.000007,0.052497,0.00786,0.060357,0.002905,0.004657,
5,1956,4,0,0,0.017335,0.008029,0.025364,0.005179,0.008476,
5,1957,1,0,0.000072,0.018932,0.002011,0.020943,0.003314,0.006813,
5,1958,2,0,0.000023,0.022591,0.000512,0.023103,0.006235,0.010112,
5,1959,3,0,0,0.020417,0.003167,0.023584,0.005232,0.009825,
5,1960,4,0,0.000064,0.014715,0.002049,0.016764,0.002252,0.004389,
5,1961,1,0,0.000032,0.022139,0.002154,0.024293,0.003014,0.005477,
5,1962,2,0,0,0.037568,0.002981,0.040549,0.004197,0.007213,
5,1963,3,0,0.000018,0.00909,0.000265,0.009355,0.002693,0.004932,
5,1964,4,0,0.000081,0.040283,0.008228,0.048511,0.002666,0.004959,
