Stock,Year,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14
NonF,2014,7.1,8,7.1,0.1,6.3,2.1,7.8,2.1,4.3,2,,,,
EStu,2014,13.3,7.2,5.1,4.2,,,2.4,4,2,0,,,,
Chwk,2014,,,,1,,,1.3,,,,,,,
PiAC,2014,3.1,8.6,4,7.5,6.3,4.2,4.3,3.2,6.7,2,,,,
NdBo,2014,12.2,19.2,4,3.1,9.4,5.3,8.9,10.5,1.5,5.4,,,,
GaNh,2014,,1,2,2,3.1,4.2,,,,1,,,,
Tsko,2014,,,,,,,,,,,,,,
UBar,2014,,,1,,,,,5.1,,1,,,,
ESTh,2014,9.2,14,17.2,16.8,25,31.6,22.6,21.5,26.7,12.7,,,,
Harr,2014,49,30.4,47.5,53.8,21.9,17.9,30.2,17.1,34.3,27,,,,
Widg,2014,,,,,,,,,,,,,,
LStu,2014,2,1.9,,2.3,6.3,7.4,2.2,9.9,6.6,4,,,,
Stel,2014,,3.2,4,0.7,9.4,7.4,4.7,3,1.6,10.3,,,,
Chil,2014,4.1,2.2,5.1,1.9,12.5,8.4,4.5,7,,7.2,,,,
Hfly,2014,,2.9,3,3,,11.6,6.1,6.7,6.7,6.8,,,,
Mtch,2014,,,,,,,,,,1.5,,,,
RaNT,2014,,,,,,,,,,3,,,,
BiBS,2014,,,,1,,,,,,,,,,
LShP,2014,,2,,2.7,,,5,9.9,9.6,16,,,,
WeCu,2014,,0,,,,,,,,1,,,,
Non-Fraser,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early Stuart,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitt,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chilliwack,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early Miscellaneous,2010,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0
Early Shuswap,2010,6.8,6.6,8.1,4.5,3.7,5.1,3,3.3,0.1,2,0,3,0.2,0.4
N. Thompson,2010,0.1,0,0,0,0,0,0.7,0,0.2,0,0,0,0,1.2
Chilko River and Lake,2010,5.6,22.5,17.7,3.1,9.1,8.1,8.4,4.1,3.1,8.2,4.1,1,1.2,0.7
Horsefly + McKinley,2010,0.2,0.2,0,0.1,0.2,3.1,0.2,0,0,0,0,0.1,0,2.2
Mitchell + tributaries,2010,1.1,2.5,1,0.9,2,1.7,5.5,10,1.1,3,2.1,1.7,1.4,2.4
Late Stuart,2010,0,0.8,0.3,3.2,0.7,0.5,2.1,0,2.1,0,0,0,0.6,0
Stellako,2010,0,0.4,1.9,0.1,0.9,1,0.6,0,0.3,0,0.8,0,0,0
Birkenhead + Big Silver,2010,2.9,4.5,2.1,0.9,0,3,2.7,3.9,0.5,0,0,0,0,5.3
Late Shuswap + Portage,2010,81.1,60.5,63.8,85,80.3,76,72.9,75.6,88.8,86.7,90,83.8,94.2,86.6
Weaver + Cultus,2010,0,1.1,0,1,1,0,2.4,0,3.7,0,0,9.6,2.4,1.1
Harrison + Widgeon,2010,2.2,0,5.1,1.2,2.1,1,1.5,1.8,0,0,3,1.1,0,0
Non-Fraser,2011,0,0,0,0,0,0,0,0.0,0.0,0,,,,
Early Stuart,2011,0,0,0,0,0,0,0,0.0,0.0,0,,,,
Pitt,2011,0,0,0,0,0,0,0,0.0,0.0,0,,,,
Chilliwack,2011,0,0,0,0,0,0,0,0.0,0.0,0,,,,
NGBN,2011,0,0,2,0,1.1,0,0,0,0.0,0,,,,
Early Shuswap,2011,0,0,0,0,0,0,0,0.0,0.0,0,,,,
N. Thompson,2011,0,5.8,2.9,3.9,6.4,0,8.1,5.4,0.0,2.7,,,,
Chilko River and Lake,2011,16.3,30.6,12.2,31,16.8,21,30,35,36.5,34.9,,,,
Horsefly + McKinley,2011,0,1.2,0.3,0.1,0,2.1,0.1,0.0,0.0,0.2,,,,
Mitchell + tributaries,2011,4.9,2.4,8.2,2.3,2.1,9.4,3.9,3.5,0.0,2.1,,,,
Late Stuart,2011,3.5,2,0.1,0.5,0,1.7,0.4,5.1,0.0,0,,,,
Stellako,2011,1.1,5.6,4,1.6,2,1.2,1,0.1,0.0,0,,,,
Birkenhead + Big Silver,2011,10.6,9.4,12.3,22.4,15,9.3,12.7,16.6,15.8,12,,,,
Late Shuswap + Portage,2011,15.3,10.5,19,16,13.9,10.4,21,20.2,20.1,24.6,,,,
Weaver + Cultus,2011,43.2,26.4,31.3,20,42.6,42.9,22.8,13.6,26.7,24,,,,
Harrison + Widgeon,2011,5,6.1,7.6,2.2,0,2.3,0,0.0,0.826667,0,,,,
Non-Fraser,2012,1,2.6,2.2,,,,,,,,,,,
Early Stuart,2012,0,0,0,,,,,,,,,,,
Pitt,2012,0,0,0,,,,,,,,,,,
Chilliwack,2012,0,0,0,,,,,,,,,,,
NGBN,2012,0,6.3,0,,,,,,,,,,,
Early Shuswap,2012,1,0,0,,,,,,,,,,,
Fennell + Taseko,2012,0,0,0,,,,,,,,,,,
Chilko River and Lake,2012,63,59,52.2,,,,,,,,,,,
Horsefly + McKinley,2012,0,0.1,0,,,,,,,,,,,
Mitchell + tributaries,2012,1,0,0,,,,,,,,,,,
Late Stuart,2012,2.1,0.8,0.1,,,,,,,,,,,
Stellako,2012,4,1.9,1.6,,,,,,,,,,,
Raft + North Thompson,2012,11.9,8.6,8.1,,,,,,,,,,,
Harrison + Widgeon,2012,0,0,0.9,,,,,,,,,,,
Birkenhead + Big Silver,2012,8,10,18.8,,,,,,,,,,,
Late Shuswap + Portage,2012,1,2,3,,,,,,,,,,,
Weaver + Cultus,2012,6.6,10,13,,,,,,,,,,,
Early Stuart,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chilliwack,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pitt Alouette Coquitlam,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nadina Gates Bowron Nahatlatch Taseko,2013,1,1.1,0,3.2,1,0,0,0,0,0,0,0,0,
Early Thompson,2013,2.1,0,0,1.1,0,0,0,0,0,0,0,0,0,
Harrison,2013,4.2,0.8,0,3.8,2.2,2.2,1,1.1,0,0,0,0,0,
Late Stuart Stellako,2013,7.3,5.4,4.2,3.2,2.4,6.9,3,3.4,1.2,0,4,0,0,
Chilko Quesnel,2013,45,67.5,54.9,48.8,53.8,70.1,54.8,56.9,55,56,47.4,50.1,57.6,
Raft North Thompson,2013,8.4,4.3,8.1,8,9.1,4.3,2.2,6.3,4.2,4.4,4.4,9.8,3.2,
Birkenhead Big Silver Widgeon,2013,3.2,2.4,7,2.2,0,2.2,5.2,4.7,0,2.6,1.3,3.2,3.1,
Late Shuswap Portage,2013,23.5,12.2,22.4,24.5,22.7,13.3,24.3,20.3,35.5,26.5,31.7,27.2,26.4,
Weaver Cultus,2013,5.3,6.3,3.5,5.3,8.8,1.2,9.4,7.4,4.1,10.5,11.2,9.7,9.7,
