scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,propMixHigh,constrain,singleHCR,moveTAC,prodRegime,startYear,endYear,freqSkew,rho,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRoute,biasCorrected,preFMigMort
ref,ref,static0.5TAM,ppnMix,3,sockeye,40,TAM,stockRecruit,NA,0.5,FALSE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
ref,ref,static0.0TAM,ppnMix,1,sockeye,40,TAM,stockRecruit,NA,0,FALSE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
ref,ref,static0.25TAM,ppnMix,2,sockeye,40,TAM,stockRecruit,NA,0.25,FALSE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
ref,ref,static0.75TAM,ppnMix,4,sockeye,40,TAM,stockRecruit,NA,0.75,FALSE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
ref,ref,static1.0TAM,ppnMix,5,sockeye,40,TAM,stockRecruit,NA,1,FALSE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
constrain,constrain,static0.5TAM,ppnMix,3,sockeye,40,TAM,stockRecruit,NA,0.5,TRUE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
constrain,constrain,static0.0TAM,ppnMix,1,sockeye,40,TAM,stockRecruit,NA,0,TRUE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
constrain,constrain,static0.25TAM,ppnMix,2,sockeye,40,TAM,stockRecruit,NA,0.25,TRUE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
constrain,constrain,static0.75TAM,ppnMix,4,sockeye,40,TAM,stockRecruit,NA,0.75,TRUE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
constrain,constrain,static1.0TAM,ppnMix,5,sockeye,40,TAM,stockRecruit,NA,1,TRUE,FALSE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR,singleHCR,static0.5TAM,ppnMix,3,sockeye,40,TAM,stockRecruit,NA,0.5,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR,singleHCR,static0.0TAM,ppnMix,1,sockeye,40,TAM,stockRecruit,NA,0,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR,singleHCR,static0.25TAM,ppnMix,2,sockeye,40,TAM,stockRecruit,NA,0.25,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR,singleHCR,static0.75TAM,ppnMix,4,sockeye,40,TAM,stockRecruit,NA,0.75,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR,singleHCR,static1.0TAM,ppnMix,5,sockeye,40,TAM,stockRecruit,NA,1,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR_constrain,singleHCR_constrain,static0.5TAM,ppnMix,3,sockeye,40,TAM,stockRecruit,NA,0.5,TRUE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR_constrain,singleHCR_constrain,static0.0TAM,ppnMix,1,sockeye,40,TAM,stockRecruit,NA,0,TRUE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR_constrain,singleHCR_constrain,static0.25TAM,ppnMix,2,sockeye,40,TAM,stockRecruit,NA,0.25,TRUE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR,singleHCR,static0.75TAM,ppnMix,4,sockeye,40,TAM,stockRecruit,NA,0.75,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singleHCR,singleHCR,static1.0TAM,ppnMix,5,sockeye,40,TAM,stockRecruit,NA,1,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
moveTAC,moveTAC,static0.5TAM,ppnMix,3,sockeye,40,TAM,stockRecruit,NA,0.5,TRUE,TRUE,TRUE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
moveTAC,moveTAC,static0.0TAM,ppnMix,1,sockeye,40,TAM,stockRecruit,NA,0,TRUE,TRUE,TRUE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
moveTAC,moveTAC,static0.25TAM,ppnMix,2,sockeye,40,TAM,stockRecruit,NA,0.25,TRUE,TRUE,TRUE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
moveTAC,moveTAC,static0.75TAM,ppnMix,4,sockeye,40,TAM,stockRecruit,NA,0.75,TRUE,TRUE,TRUE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
moveTAC,moveTAC,static1.0TAM,ppnMix,5,sockeye,40,TAM,stockRecruit,NA,1,TRUE,TRUE,TRUE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,0
singConsERBefore,singConsERBefore,static0.5TAM,ppnMix,3,sockeye,40,TAM,stockRecruit,NA,0.5,TRUE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,1
singConsERBefore,singConsERBefore,static0.0TAM,ppnMix,1,sockeye,40,TAM,stockRecruit,NA,0,TRUE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,1
singConsERBefore,singConsERBefore,static0.25TAM,ppnMix,2,sockeye,40,TAM,stockRecruit,NA,0.25,TRUE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,1
singConsERBefore,singConsERBefore,static0.75TAM,ppnMix,4,sockeye,40,TAM,stockRecruit,NA,0.75,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,1
singConsERBefore,singConsERBefore,static1.0TAM,ppnMix,5,sockeye,40,TAM,stockRecruit,NA,1,FALSE,TRUE,FALSE,med,NA,NA,NA,0.1,0.4,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,FALSE,1
