scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,propMixLow,varyAllocation,prodRegime,startYear,endYear,freqSkew,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsSBias,propSampleCU,sampleProb,ageErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustAge,adjustForecast,adjustEnRoute,adjustBeta
lowSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,1
lowSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,1
lowSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,1
medSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,1
medSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,1
medSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,1
highSig,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,1
highSig,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,1
highSig,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,1
lowSigLowBeta,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,0.5
lowSigLowBeta,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,0.5
lowSigLowBeta,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,0.5
medSigLowBeta,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,0.5
medSigLowBeta,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,0.5
medSigLowBeta,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,0.5
highSigLowBeta,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,0.5
highSigLowBeta,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,0.5
highSigLowBeta,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0.2,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,0.5
lowSigNoAR,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,1
lowSigNoAR,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,1
lowSigNoAR,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,0.75,1,1,1,1,1
medSigNoAR,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,1
medSigNoAR,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,1
medSigNoAR,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1,1,1,1,1,1
highSigNoAR,lowSynch,TAM,synch,1,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.05,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,1
highSigNoAR,medSynch,TAM,synch,2,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.5,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,1
highSigNoAR,highSynch,TAM,synch,3,sockeye,40,TAM,stockRecruit,NA,0,1,0,FALSE,med,NA,NA,NA,0,TRUE,0.75,FALSE,0,0,0.2,0.2,0,0,1,1,1,0.1,0.5,1,0.0001,1.25,1,1,1,1,1
